quadkey,hour,2_threshold_lower,2_n_pairs,2_low_confidence
30011010220033,0,-3.5,3,False
30011010220210,0,-3.5,3,False
30011010220211,0,-3.5,3,False
30011010220212,0,-3.5,3,False
30011010220213,0,-3.5,3,False
30011010220231,0,-3.5,3,False
30011010220233,0,-3.5,3,False
30011010220300,0,-3.5,3,False
30011010220302,0,-3.5,3,False
30011010220303,0,-3.5,3,False
30011010220311,0,-3.5,3,False
30011010220312,0,-3.5,3,False
30011010220313,0,-3.5,3,False
30011010220320,0,-3.5,3,False
30011010220321,0,-3.5,3,False
30011010220322,0,-3.5,3,False
30011010220323,0,-3.5,3,False
30011010220330,0,-3.5,3,False
30011010220331,0,-3.5,3,False
30011010220332,0,-3.5,3,False
30011010220333,0,-3.5,3,False
30011010221032,0,-3.5,3,False
30011010221033,0,-3.5,3,False
30011010221122,0,-3.5,3,False
30011010221133,0,-3.5,3,False
30011010221200,0,-3.5,3,False
30011010221201,0,-3.5,3,False
30011010221202,0,-3.5,3,False
30011010221203,0,-3.5,3,False
30011010221210,0,-3.5,3,False
30011010221211,0,-3.5,3,False
30011010221212,0,-3.5,3,False
30011010221213,0,-3.5,3,False
30011010221220,0,-3.5,3,False
30011010221221,0,-3.5,3,False
30011010221222,0,-3.5,3,False
30011010221223,0,-3.5,3,False
30011010221230,0,-3.5,3,False
30011010221231,0,-3.5,3,False
30011010221232,0,-3.5,3,False
30011010221233,0,-3.5,3,False
30011010221300,0,-3.5,3,False
30011010221301,0,-3.5,3,False
30011010221302,0,-3.5,3,False
30011010221303,0,-3.5,3,False
30011010221311,0,-3.5,3,False
30011010221312,0,-3.5,3,False
30011010221313,0,-3.5,3,False
30011010221320,0,-3.5,3,False
30011010221321,0,-3.5,3,False
30011010221322,0,-3.5,3,False
30011010221323,0,-3.5,3,False
30011010221330,0,-3.5,3,False
30011010221331,0,-3.5,3,False
30011010221332,0,-3.5,3,False
30011010221333,0,-3.5,3,False
30011010222011,0,-3.5,3,False
30011010222013,0,-3.5,3,False
30011010222031,0,-3.5,3,False
30011010222100,0,-3.5,3,False
30011010222101,0,-3.5,3,False
30011010222102,0,-3.5,3,False
30011010222103,0,-3.5,3,False
30011010222110,0,-3.5,3,False
30011010222111,0,-3.5,3,False
30011010222112,0,-3.5,3,False
30011010222113,0,-3.5,3,False
30011010222120,0,-3.5,3,False
30011010222121,0,-3.5,3,False
30011010222122,0,-3.5,3,False
30011010222123,0,-3.5,3,False
30011010222130,0,-3.5,3,False
30011010222131,0,-3.5,3,False
30011010222132,0,-3.5,3,False
30011010222133,0,-3.5,3,False
30011010222213,0,-3.5,3,False
30011010222231,0,-3.5,3,False
