y,flood_var,flood_coefficient,flood_p_value,r2,adjr2,nobs,aic,bic
3_estimated_outflow_pop_from_2_outflow_max,4_flood_max,477.43500780264526,0.2167594085031972,0.014425303790673638,0.010451212273700494,250,5319.6879682323915,5326.730890068116
1_outflow_max_hour0,4_flood_max,25.267767440127805,0.15567706287707897,0.0106151637842411,0.00619826719399208,226,3473.3111826649792,3480.152252663524
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_p95,-1.006994912288963,0.149684583202603,0.00820956288644592,0.004177894442894847,248,1946.1732988853241,1953.2001563776541
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_max,202.13885769704697,0.2201007084260469,0.006239961661067328,0.0022328647322812367,250,5101.521555929683,5108.564477765408
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_max,232.48504642240826,0.20133901738388882,0.005850435363602191,0.0018417677642618147,250,5187.669534908615,5194.71245674434
2_outflow_max,4_flood_max,15.653392432829708,0.23505351840559852,0.0057716351013739065,0.0017626497590406132,250,3842.0103929160614,3849.053314751786
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_mean,-4.746332481395508,0.31967288483054135,0.005252595625542922,0.0012089069898743032,248,1946.9115968497385,1953.9384543420686
1_outflow_accumulated_hour0,4_flood_max,16.242519812178266,0.24272539353824452,0.0051559670685671355,0.0011444991938435178,250,3888.837746640682,3895.8806684764063
3_pct_outflow_fb_from_2_outflow_max,4_flood_p95,-0.6833626132169986,0.36111977072661694,0.003651012501035389,-0.0005529916656268341,239,1870.9377043011173,1877.8906314049802
2_displaced_excess_max,4_flood_max,10.509359962902332,0.33913901688561565,0.0034153597083416143,-0.000603126744447513,250,3774.559641993801,3781.6025638295255
3_estimated_excess_displacement_pop,4_flood_mean,-2219.967545062952,0.12359644621441351,0.003138247503676417,-0.0008813563370346778,250,5164.456206856932,5171.499128692657
3_estimated_excess_displacement_pop,4_flood_max,145.1873585937539,0.3401593871389431,0.002510525480568515,-0.0015116094973324223,250,5164.613581855712,5171.656503691437
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_mean,3.2653833443541553,0.4045596953290145,0.002413221149940248,-0.0017960057650387995,239,1830.872319280692,1837.825246384555
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_max,0.24165366777980593,0.4308171961055113,0.0023327150563778876,-0.0018768515467597613,239,1830.8916060038423,1837.8445331077053
3_estimated_excess_displacement_pop,4_flood_p95,-250.42376558880287,0.4890495692782685,0.0013872120537160582,-0.0026394524138093622,250,5164.894958608435,5171.93788044416
2_displaced_excess_max,4_flood_mean,-89.14497183800044,0.07383818951900635,0.0013139067260420356,-0.0027130533274821733,250,3775.0862506700005,3782.129172505725
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,194.874612249893,0.574712673636983,0.0010771534588291942,-0.0029507612449659604,250,5102.817000326165,5109.85992216189
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_max,-0.1574446159391904,0.634806716479825,0.0010770015322630888,-0.002983661063134191,248,1947.9504334075214,1954.9772908998514
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,292.60711714368244,0.6998237066313273,0.001006354430865275,-0.003021845752881447,250,5323.068842951365,5330.11176478709
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,-0.26901050453991926,0.540868393483749,0.000981843808656735,-0.003079205606755231,248,1819.924686967352,1826.951544459682
3_pct_outflow_fb_from_2_outflow_max,4_flood_max,0.17862129057202128,0.6281868566733539,0.0010764604369666309,-0.0031384068185735803,239,1871.554480482272,1878.507407586135
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,209.27345644484973,0.567142892627726,0.0008804631361354343,-0.003148244673799594,250,5188.91622621665,5195.959148052375
2_outflow_max,4_flood_mean,-82.72164593035926,0.22785020012567858,0.0008618013496773935,-0.0031669817093966657,250,3843.241938526011,3850.2848603617354
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_mean,1.831351984549535,0.5602750251902829,0.0010140435865130248,-0.003201087031265315,239,1761.9860082596952,1768.9389353635581
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_max,-0.09581800458515417,0.6490251573056616,0.0006684876447048405,-0.0033938355762517247,248,1820.0024634751576,1827.0293209674876
1_outflow_max_hour0,4_flood_p95,15.945113065542234,0.38862866689972564,0.00095368771007176,-0.0035063404697941447,226,3475.5073972812593,3482.348467279804
1_outflow_accumulated_hour0,4_flood_p95,10.571182802854354,0.5214070448153334,0.00040563482694910835,-0.0036249876132650183,250,3890.028643594159,3897.0715654298833
