model,variable,coefficient,std_err,z_stat,p_value
OLS,const,607.8663099481277,733.1762282580211,,0.40705561893117626
OLS,4_flood_p95,-31.224601178614876,417.52522916488914,,0.9403858206506053
OLS,3_worldpop,0.15268387468401745,0.033443103949701986,,4.983489833968804e-06
SLM,const,-95.0912300215233,542.0777170076595,-0.1754199204985577,0.860749688978786
SLM,4_flood_p95,-14.875208325359278,341.39738465600755,0.860749688978786,0.38937591980896347
SLM,3_worldpop,0.1248974658415987,0.009727429517890821,-0.043571535676371856,0.965245941381254
SLM,rho,0.3044108204992755,0.06974878826394101,0.965245941381254,0.33442164114502604
SEM,const,689.3527468104583,805.3419683064639,0.8559751930724325,0.3920115010863028
SEM,4_flood_p95,75.05529951924652,383.97868920746254,0.3920115010863028,0.6950497159293074
SEM,3_worldpop,0.1455330066423257,0.009124223019051901,0.1954673569883832,0.8450270901120187
SEM,lambda,0.45964395726949026,0.08361381590023417,0.8450270901120188,0.39809571397538956
