y,flood_var,flood_coefficient,flood_p_value,population_var,population_coefficient,population_p_value,r2,adjr2,nobs,aic,bic
2_outflow_max,4_flood_max,5.441157651305802,0.23334367615850737,3_fb_baseline_median,0.2944325165979755,4.968064243359326e-06,0.7536869090268148,0.7516924710432262,250,3495.1695255675895,3505.7339083211764
2_outflow_max,4_flood_mean,67.92721574054339,0.20579100223254787,3_fb_baseline_median,0.2954500432462501,5.720431834471871e-06,0.7535707291969582,0.7515753504860024,250,3495.2874166208267,3505.8517993744135
2_outflow_max,4_flood_p95,4.354216410683311,0.6326662029856649,3_fb_baseline_median,0.29495341795610047,5.451780955899236e-06,0.7530747638668287,0.7510753692422686,250,3495.790062781177,3506.3544455347637
2_displaced_excess_max,4_flood_mean,39.84761550311722,0.4655015193439772,3_fb_baseline_median,0.2529781180267623,2.585557377343119e-05,0.7257946762896361,0.7235743902676899,250,3453.9454191809855,3464.5098019345724
2_displaced_excess_max,4_flood_max,1.750934782403524,0.7162875012210568,3_fb_baseline_median,0.25251722296816653,2.2506633200698283e-05,0.7256276345100986,0.7234059959231358,250,3454.0976690700973,3464.662051823684
2_displaced_excess_max,4_flood_p95,-2.270069127497323,0.8132369949479344,3_fb_baseline_median,0.2526786684073835,2.4471757875984693e-05,0.7255627382613641,0.7233405741987031,250,3454.156793624239,3464.721176377826
1_outflow_accumulated_hour0,4_flood_mean,106.28580829525188,0.12022547993447429,3_fb_baseline_median,0.3101923228119752,4.4010995033495365e-05,0.6886837610267367,0.6861629817637953,250,3600.3935634071686,3610.9579461607555
1_outflow_accumulated_hour0,4_flood_max,5.529115475990893,0.3606472646125196,3_fb_baseline_median,0.308881911503077,4.115079989449634e-05,0.6881033070075194,0.6855778277120337,250,3600.8592583224136,3611.4236410760004
1_outflow_accumulated_hour0,4_flood_p95,11.601358267856254,0.37551392878405265,3_fb_baseline_median,0.309423310067906,4.3319698118029554e-05,0.6879963385651174,0.6854699931283977,250,3600.944983905587,3611.509366659174
1_outflow_max_hour0,4_flood_mean,64.94114744020239,0.34891859922329005,3_fb_baseline_median,0.2708981663301773,0.0001393541776943651,0.6740394380835169,0.6711160249721583,226,3224.3818065180394,3234.6434115158563
1_outflow_max_hour0,4_flood_max,1.1310894999587113,0.8698719122795369,3_fb_baseline_median,0.27050447849678677,0.00012729382183931004,0.6736397107109363,0.6707127126007204,226,3224.658781866423,3234.92038686424
1_outflow_max_hour0,4_flood_p95,2.223719419157851,0.8638679793703767,3_fb_baseline_median,0.2706409999839984,0.0001375389461791728,0.6736372751709584,0.6707102552173347,226,3224.66046843798,3234.922073435797
3_estimated_outflow_pop_from_2_outflow_max,4_flood_max,118.37179167868439,0.48155819301513225,3_worldpop,0.15199981908689905,5.020446660007112e-06,0.6302347700336939,0.6272407195886225,250,5076.598811153383,5087.16319390697
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,-31.224601178614876,0.9403858206506053,3_worldpop,0.15268387468401745,4.983489833968804e-06,0.6293710692469578,0.6263700252732489,250,5077.182082351577,5087.746465105164
3_estimated_outflow_pop_from_2_outflow_max,4_flood_mean,-33.75282700848561,0.9832502417491754,3_worldpop,0.15265367777469463,5.190102445274218e-06,0.6293600173668348,0.626358883904218,250,5077.189537055211,5087.753919808798
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_mean,-287.0341025182916,0.6696298004102998,3_worldpop,0.09254922670904467,5.823857785571322e-07,0.5584316016932318,0.5548561490753632,250,4900.7308467312405,4911.295229484827
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_max,-16.732969559293124,0.846598197407217,3_worldpop,0.09265354024651332,9.46572239704878e-07,0.5584065382693552,0.5548308827087831,250,4900.745036329443,4911.30941908303
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,-1.4433830852429812,0.9940152901942735,3_worldpop,0.09256224916218521,7.636369073136143e-07,0.558364397284853,0.5547884005017343,250,4900.768892532907,4911.3332752864935
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_mean,-440.60784331806593,0.57578496729079,3_worldpop,0.1093180286313496,1.6451313455606602e-06,0.5523224567616118,0.5486975373831633,250,4990.215920138819,5000.780302892405
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_max,-26.136804325641595,0.7882352653175906,3_worldpop,0.10948065064969764,2.2544309952104964e-06,0.5522830945228001,0.5486578564217701,250,4990.237900529078,5000.802283282665
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,-22.664795707535145,0.9193328916625364,3_worldpop,0.1093568944065526,2.0022444703405587e-06,0.5522204244622608,0.5485946789113479,250,4990.2728923252325,5000.837275078819
3_estimated_excess_displacement_pop,4_flood_p95,-466.87849332754286,0.0678801610629169,3_worldpop,0.10205654559114628,6.597453326798094e-05,0.529732393622512,0.5259245587530587,250,4978.628659629369,4989.193042382956
3_estimated_excess_displacement_pop,4_flood_mean,-1889.8620911417718,0.042852199832789456,3_worldpop,0.10154861881446156,7.260373977543157e-05,0.5271941733137795,0.5233657860531623,250,4979.974380094273,4990.53876284786
3_estimated_excess_displacement_pop,4_flood_max,-96.13585951201189,0.27845557573787283,3_worldpop,0.1021577367058383,7.43077547969819e-05,0.5260064702631715,0.5221684659738044,250,4980.601600458096,4991.165983211683
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_max,112.35570375959402,0.34372986815575357,3_fb_baseline_median,3.4634911392230037,3.2074089614376136e-07,0.4814322505339935,0.4772333213885197,250,5026.965290085173,5037.52967283876
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,220.84114134025302,0.4086534307202476,3_fb_baseline_median,3.4744676725061345,2.8350793182283204e-07,0.48105077455448875,0.47684875653468695,250,5027.149130931117,5037.713513684704
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_mean,979.1631381864631,0.34660446373982623,3_fb_baseline_median,3.4813604680497323,2.7918448757951804e-07,0.48062306672961885,0.47641758548856306,250,5027.355091190073,5037.91947394366
