y,flood,waste,nobs,r2,adjr2,aic,bic
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_count,250,0.5379351764919662,0.5341937609170023,5132.308036457842,5142.872419211429
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_count_final,224,0.5287640129938673,0.5244994339259386,4622.979546718587,4633.214484874152
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_quadkey_area,224,0.5287539042519483,0.5244892337021922,4622.98435181405,4633.219289969615
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_count,250,0.44623415566932845,0.44175022170713674,5019.488666077873,5030.05304883146
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_count_final,224,0.4366311608160598,0.4315328002804586,4521.880783074107,4532.115721229672
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_quadkey_area,224,0.4366068456662575,0.4315082650840517,4521.8904507654,4532.125388920965
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_svi_count,224,0.42457305335922735,0.41936556967922034,4667.724281134328,4677.959219289893
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_svi_count,224,0.3323857837774695,0.326344026164596,4559.910593786972,4570.145531942537
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count,250,0.28361581571710814,0.27781513406299563,5021.701762403472,5032.266145157058
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count_final,224,0.27477985198807475,0.26821677372552344,4524.080993325835,4534.3159314814
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,224,0.2747640222079857,0.2682008006895059,4524.085882643998,4534.320820799563
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,250,0.27317434982593625,0.2672891218893041,5111.369276171074,5121.93365892466
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,224,0.2645821784470592,0.2579268135461277,4604.501608446209,4614.736546601774
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,224,0.2645660883592501,0.25791057784666416,4604.506509252439,4614.741447408004
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_svi_count,224,0.2298918546430786,0.22292255016021056,4537.53346840314,4547.7684065587055
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_svi_count,224,0.22738255715579236,0.22039054409837877,4615.554938710128,4625.789876865693
2_outflow_max,4_flood_p95,4_waste_count,250,0.12368055289874935,0.11658484887363796,3812.4513345346486,3823.0157172882355
2_outflow_max,4_flood_p95,4_waste_count_final,224,0.11566410190090781,0.10766106209910609,3439.9030037990897,3450.1379419546547
2_outflow_max,4_flood_p95,4_waste_per_quadkey_area,224,0.1156598644089809,0.10765678625883601,3439.904077142284,3450.1390152978493
2_displaced_excess_max,4_flood_p95,4_waste_count,250,0.09716418959151174,0.0898537781712,3751.861301112629,3762.425683866216
2_displaced_excess_max,4_flood_p95,4_waste_count_final,224,0.09050080445402153,0.08227004250337921,3385.981976735314,3396.2169148908793
2_displaced_excess_max,4_flood_p95,4_waste_per_quadkey_area,224,0.09049543714362951,0.08226462662004252,3385.9832986430038,3396.218236798569
2_outflow_max,4_flood_p95,4_waste_per_svi_count,224,0.06156730878907413,0.053074705248703835,3453.202817481087,3463.437755636652
1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,250,0.042039970720070374,0.03428320934938256,3881.3927666310237,3891.9571493846106
2_displaced_excess_max,4_flood_p95,4_waste_per_svi_count,224,0.04216666508315414,0.033498490106531165,3397.580624490055,3407.81556264562
