y,flood_var,flood_coefficient,flood_p_value,waste_var,waste_coefficient,waste_p_value,r2,adjr2,nobs,aic,bic
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,-8.303284614431675,0.9873055864226478,4_waste_count,212.84531313649458,6.55464907953872e-12,0.5379351764919662,0.5341937609170023,250,5132.308036457842,5142.872419211429
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,62.75890389701931,0.9252427371452518,4_waste_count_final,210.91287259036756,1.171912944965794e-11,0.5287640129938673,0.5244994339259386,224,4622.979546718587,4633.214484874152
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,62.758990932205904,0.9252428565770869,4_waste_per_quadkey_area,1253522.8839236323,1.173445358849484e-11,0.5287539042519483,0.5244892337021922,224,4622.98435181405,4633.219289969615
3_estimated_excess_displacement_pop,4_flood_p95,-450.0781530481759,0.08967997637564677,4_waste_count,141.2231028557968,2.752680452291722e-11,0.44623415566932845,0.44175022170713674,250,5019.488666077873,5030.05304883146
3_estimated_excess_displacement_pop,4_flood_p95,-519.178706317588,0.12125458429825625,4_waste_count_final,140.3133499480794,6.144104625645911e-11,0.4366311608160598,0.4315328002804586,224,4521.880783074107,4532.115721229672
3_estimated_excess_displacement_pop,4_flood_p95,-519.1717916633684,0.12126487634127127,4_waste_per_quadkey_area,833912.0535847724,6.156492449803312e-11,0.4366068456662575,0.4315082650840517,224,4521.8904507654,4532.125388920965
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,235.1401471416102,0.7274628076489573,4_waste_per_svi_count,843.0780548238706,9.52607509289303e-08,0.42457305335922735,0.41936556967922034,224,4667.724281134328,4677.959219289893
3_estimated_excess_displacement_pop,4_flood_p95,-397.8135560122061,0.24687529480172254,4_waste_per_svi_count,546.5167482957847,8.17763034182031e-07,0.3323857837774695,0.326344026164596,224,4559.910593786972,4570.145531942537
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,54.35891127376753,0.84198297492768,4_waste_count,99.39207219197107,1.1812811063540514e-05,0.28361581571710814,0.27781513406299563,250,5021.701762403472,5032.266145157058
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,116.13873261052868,0.7381598437300655,4_waste_count_final,98.04645971969606,1.787028465271031e-05,0.27477985198807475,0.26821677372552344,224,4524.080993325835,4534.3159314814
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,116.14390087604356,0.7381512389156122,4_waste_per_quadkey_area,582710.1971765021,1.788140820880878e-05,0.2747640222079857,0.2682008006895059,224,4524.085882643998,4534.320820799563
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,45.423269102868694,0.8765792021464807,4_waste_count,115.89743733854455,5.109531492404739e-05,0.27317434982593625,0.2672891218893041,250,5111.369276171074,5121.93365892466
