model,variable,coefficient,std_err,z_stat,p_value
OLS,const,513.2387060654883,688.6083365591697,,0.4560737814155069
OLS,4_flood_p95,-49.839263076603515,437.540837052202,,0.9093109748590888
OLS,4_waste_count,72.47925552149457,51.5343771909144,,0.15959785109721203
OLS,3_worldpop,0.11314790447018515,0.058479725553455986,,0.053012048144814736
SLM,const,-45.80181295904424,534.4083724453427,-0.08570564257716355,0.9317004165083826
SLM,4_flood_p95,-32.0368546161833,336.6773959404021,0.9317004165083826,0.35149137117098816
SLM,4_waste_count,55.764905406218475,19.284528245873805,-0.0951559415704118,0.9241909646638
SLM,3_worldpop,0.0993049931160857,0.013052017483842776,0.9241909646638,0.35538689902726794
SLM,rho,0.25153840968865665,0.07205130035564389,2.891691447943517,0.003831740576534459
SEM,const,478.94714942471074,768.6351468070179,0.6231137769516549,0.5332097569290011
SEM,4_flood_p95,65.22273712374539,373.4026314265426,0.5332097569290011,0.5938883882176658
SEM,4_waste_count,69.01554421371563,19.09866418460045,0.17467133767796247,0.8613378907192528
SEM,3_worldpop,0.11241738036271362,0.01278595108988432,0.8613378907192528,0.3890519726461701
SEM,lambda,0.4412259786273516,0.0852484236755332,3.6136320083246414,0.00030193751752882747
