y,flood,waste,population,nobs,r2,adjr2,aic,bic
1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_safe,218,0.8501583394848762,0.8480577554589632,3010.400763626323,3023.9387438774797
1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_safe,218,0.8501572005102842,0.8480566005174377,3010.402420678952,3023.9404009301084
1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_median,224,0.8490130613056001,0.8469541485052219,3089.2048664125036,3102.851450619924
1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_median,224,0.849011920866558,0.8469529925147383,3089.2065583295853,3102.8531425370056
1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,3_fb_baseline_safe,239,0.8484634308986694,0.8465289215058864,3282.0443209719797,3295.9501751797056
1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,3_fb_baseline_median,250,0.8471381511285484,0.8452739822398722,3424.574894362434,3438.660738033883
1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_median,207,0.8345107760769922,0.8320651225214798,2832.2292146759246,2845.560089848986
1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_safe,207,0.8345107760769922,0.8320651225214798,2832.2292146759246,2845.560089848986
1_outflow_max_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_median,207,0.834510061737516,0.8320643976252625,2832.2301081960513,2845.560983369113
1_outflow_max_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_safe,207,0.834510061737516,0.8320643976252625,2832.2301081960513,2845.560983369113
1_outflow_max_hour0,4_flood_p95,4_waste_count,3_fb_baseline_median,226,0.8328429952743959,0.8305841168321579,3075.449315746436,3089.131455743525
1_outflow_max_hour0,4_flood_p95,4_waste_count,3_fb_baseline_safe,226,0.8328429952743959,0.8305841168321579,3075.449315746436,3089.131455743525
1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_safe,218,0.8292939752411629,0.8269009001277212,3038.8200684531853,3052.358048704342
1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_median,224,0.8289560454424351,0.8266236278802864,3117.143766673414,3130.7903508808345
1_outflow_max_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_median,207,0.8139836733890421,0.8112346636361708,2856.433386622096,2869.7642617951574
1_outflow_max_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_safe,207,0.8139836733890421,0.8112346636361708,2856.433386622096,2869.7642617951574
2_outflow_max,4_flood_p95,4_waste_count,3_fb_baseline_median,250,0.8111724117984367,0.8088696363325639,3430.727253755289,3444.813097426738
2_outflow_max,4_flood_p95,4_waste_count,3_fb_baseline_safe,239,0.810856333079264,0.8084417330760205,3289.6720263142447,3303.5778805219707
2_outflow_max,4_flood_p95,4_waste_count_final,3_fb_baseline_median,224,0.8096042048552131,0.8070078985577842,3097.8990519493213,3111.5456361567417
2_outflow_max,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_median,224,0.8096025509157814,0.8070062220646329,3097.900997794939,3111.5475820023594
2_outflow_max,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_median,224,0.8095378643352313,0.8069406533943482,3097.977087749152,3111.6236719565723
2_outflow_max,4_flood_p95,4_waste_count_final,3_fb_baseline_safe,218,0.8094907720558765,0.8068200819445103,3020.2089768486485,3033.746957099805
2_outflow_max,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_safe,218,0.8094891118137691,0.8068183984279809,3020.2108766579454,3033.748856909102
2_outflow_max,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_safe,218,0.8090687453679648,0.8063921389946185,3020.69136851764,3034.2293487687966
2_displaced_excess_max,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_median,224,0.8048509067301158,0.8021897827309811,3043.2167971144677,3056.863381321888
2_displaced_excess_max,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_safe,218,0.8048269864718687,0.802090916188764,2967.138466603007,2980.6764468541637
2_displaced_excess_max,4_flood_p95,4_waste_count,3_fb_baseline_safe,239,0.8042925541018952,0.8017941611755364,3233.1873533348294,3247.0932075425553
2_displaced_excess_max,4_flood_p95,4_waste_count_final,3_fb_baseline_safe,218,0.8040403499827838,0.8012932520853462,2968.0153403689465,2981.553320620103
2_displaced_excess_max,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_safe,218,0.8040402324689115,0.8012931329240832,2968.015471100025,2981.5534513511816
2_displaced_excess_max,4_flood_p95,4_waste_count,3_fb_baseline_median,250,0.803628948157567,0.8012341792326593,3372.4776213838422,3386.563465055291
2_displaced_excess_max,4_flood_p95,4_waste_count_final,3_fb_baseline_median,224,0.8035473674504174,0.8008684679156504,3044.7080769423246,3058.354661149745
2_displaced_excess_max,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_median,224,0.8035472519751454,0.8008683508657156,3044.7082086099585,3058.354792817379
2_outflow_max,4_flood_p95,4_waste_per_population,3_fb_baseline_median,224,0.751527895088905,0.7481396391128446,3157.53357460434,3171.1801588117605
2_outflow_max,4_flood_p95,4_waste_per_population,3_fb_baseline_safe,218,0.751303896135419,0.7478175021560091,3078.3127458874346,3091.850726138591
2_displaced_excess_max,4_flood_p95,4_waste_per_population,3_fb_baseline_safe,218,0.7266610176856769,0.72282916279342,3040.566600946271,3054.1045811974277
2_displaced_excess_max,4_flood_p95,4_waste_per_population,3_fb_baseline_median,224,0.7262060922787519,0.722472538991644,3119.06584355786,3132.71242776528
1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_safe,218,0.6930323478964435,0.6887290630538703,3166.742348703461,3180.2803289546177
1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_median,224,0.6920760613572582,0.6878770985575844,3248.8405867194597,3262.48717092688
1_outflow_max_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_median,207,0.6768891903709684,0.6721141537754655,2970.730688972002,2984.0615641450636
1_outflow_max_hour0,4_flood_p95,4_waste_per_population,3_fb_baseline_safe,207,0.6768891903709684,0.6721141537754655,2970.730688972002,2984.0615641450636
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_count,3_worldpop,250,0.649500230968594,0.6452258435413818,5065.221750368584,5079.307594040033
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_count,3_worldpop_safe,248,0.6489549138488208,0.6446387857404046,5026.74229107046,5040.7960060551195
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_count_final,3_worldpop,224,0.6415636818989288,0.6366759139248233,4563.691356382929,4577.33794059035
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_count_final,3_worldpop_safe,224,0.6415636818989288,0.6366759139248233,4563.691356382929,4577.33794059035
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_quadkey_area,3_worldpop,224,0.6415635020762284,0.6366757316499951,4563.691468760701,4577.338052968122
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_quadkey_area,3_worldpop_safe,224,0.6415635020762284,0.6366757316499951,4563.691468760701,4577.338052968122
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_svi_count,3_worldpop,224,0.6225289253214401,0.6173815924849142,4575.281773247497,4588.928357454917
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_svi_count,3_worldpop_safe,224,0.6225289253214401,0.6173815924849142,4575.281773247497,4588.928357454917
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_population,3_worldpop,224,0.621507096140274,0.6163458292694595,4575.8873308732,4589.53391508062
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_population,3_worldpop_safe,224,0.621507096140274,0.6163458292694595,4575.8873308732,4589.53391508062
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_svi_count,3_worldpop,224,0.5875328349234863,0.5819082826724429,4399.6736138442675,4413.320198051688
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_svi_count,3_worldpop_safe,224,0.5875328349234863,0.5819082826724429,4399.6736138442675,4413.320198051688
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_svi_count,3_worldpop,224,0.5812538022210649,0.5755436267968067,4480.3506774189755,4493.997261626396
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_svi_count,3_worldpop_safe,224,0.5812538022210649,0.5755436267968067,4480.3506774189755,4493.997261626396
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count,3_worldpop,250,0.5794436514939871,0.5743149155365967,4890.542232586218,4904.628076257667
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count,3_worldpop_safe,248,0.5790075950625941,0.5738314589363145,4853.473846522559,4867.527561507219
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,3_worldpop,250,0.5767168959704334,0.5715549068969021,4978.207927175526,4992.293770846974
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,3_worldpop_safe,248,0.5763036719131971,0.5710942908301626,4940.438162091684,4954.491877076343
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,3_worldpop,224,0.5731660353694085,0.5673455722153549,4407.343036321872,4420.989620529293
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,3_worldpop_safe,224,0.5731660353694085,0.5673455722153549,4407.343036321872,4420.989620529293
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count_final,3_worldpop,224,0.5731637828357887,0.5673432889653677,4407.344218435389,4420.990802642809
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count_final,3_worldpop_safe,224,0.5731637828357887,0.5673432889653677,4407.344218435389,4420.990802642809
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,3_worldpop,224,0.5707552136007642,0.564901875604411,4485.897443975582,4499.544028183002
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,3_worldpop_safe,224,0.5707552136007642,0.564901875604411,4485.897443975582,4499.544028183002
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,3_worldpop,224,0.5707525723008422,0.5648991982867628,4485.898822325141,4499.545406532561
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,3_worldpop_safe,224,0.5707525723008422,0.5648991982867628,4485.898822325141,4499.545406532561
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_count,3_fb_baseline_median,250,0.5674603604569572,0.5621854868039933,5117.800232065893,5131.886075737342
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_count,3_fb_baseline_safe,239,0.5635468443497447,0.5579751019371882,4903.672067970177,4917.577922177903
