y,flood_var,flood_coefficient,flood_p_value,waste_var,waste_coefficient,waste_p_value,population_var,population_coefficient,population_p_value,r2,adjr2,nobs,aic,bic
1_outflow_accumulated_hour0,4_flood_p95,23.02869542668968,0.04856872736744046,4_waste_per_quadkey_area,-49921.65010872914,0.00018444415613960772,3_fb_baseline_safe,0.4323476058281852,2.7256154688720893e-07,0.8501583394848762,0.8480577554589632,218,3010.400763626323,3023.9387438774797
1_outflow_accumulated_hour0,4_flood_p95,23.02847365585309,0.04857246122192004,4_waste_count_final,-8.399581091482746,0.00018447920777955353,3_fb_baseline_safe,0.4323497839611303,2.726032067820929e-07,0.8501572005102842,0.8480566005174377,218,3010.402420678952,3023.9404009301084
1_outflow_accumulated_hour0,4_flood_p95,22.414012120400965,0.05261430409200878,4_waste_per_quadkey_area,-49981.684944100234,0.0001962129086435572,3_fb_baseline_median,0.4308555492812385,2.9399827612386274e-07,0.8490130613056001,0.8469541485052219,224,3089.2048664125036,3102.851450619924
1_outflow_accumulated_hour0,4_flood_p95,22.413790909427146,0.052618297868777406,4_waste_count_final,-8.409682249153654,0.00019624988280982073,3_fb_baseline_median,0.43085772729873034,2.940438177486696e-07,0.849011920866558,0.8469529925147383,224,3089.2065583295853,3102.8531425370056
1_outflow_accumulated_hour0,4_flood_p95,22.98461007264607,0.0305417466139934,4_waste_count,-8.410827938974082,0.00020867056969484408,3_fb_baseline_safe,0.42976541064756835,3.066171019404287e-07,0.8484634308986694,0.8465289215058864,239,3282.0443209719797,3295.9501751797056
1_outflow_accumulated_hour0,4_flood_p95,23.907858964845406,0.019853854835561697,4_waste_count,-8.425970803191701,0.00022433679593302435,3_fb_baseline_median,0.4278464745069229,3.3481584330894345e-07,0.8471381511285484,0.8452739822398722,250,3424.574894362434,3438.660738033883
1_outflow_max_hour0,4_flood_p95,16.686009451951982,0.1486060120746999,4_waste_per_quadkey_area,-43459.53384399267,0.0005569134101457785,3_fb_baseline_median,0.37486244436431015,2.849893345054743e-06,0.8345107760769922,0.8320651225214798,207,2832.2292146759246,2845.560089848986
1_outflow_max_hour0,4_flood_p95,16.686009451951982,0.1486060120746999,4_waste_per_quadkey_area,-43459.53384399267,0.0005569134101457785,3_fb_baseline_safe,0.37486244436431015,2.849893345054743e-06,0.8345107760769922,0.8320651225214798,207,2832.2292146759246,2845.560089848986
1_outflow_max_hour0,4_flood_p95,16.685810449103045,0.14861273160103497,4_waste_count_final,-7.3123058152088625,0.0005569929765492514,3_fb_baseline_median,0.37486447735257,2.850191050863394e-06,0.834510061737516,0.8320643976252625,207,2832.2301081960513,2845.560983369113
1_outflow_max_hour0,4_flood_p95,16.685810449103045,0.14861273160103497,4_waste_count_final,-7.3123058152088625,0.0005569929765492514,3_fb_baseline_safe,0.37486447735257,2.850191050863394e-06,0.834510061737516,0.8320643976252625,207,2832.2301081960513,2845.560983369113
